title,sentiment_label_ml,sentiment_score_ml,sentiment_confidence_ml,source
"진천군의회, CJ제일제당 블로썸캠퍼스 방문",긍정,1,0.9284445643424988,industry_risk
"진천군의회, CJ제일제당 블로썸캠퍼스 소통 간담회 성료",긍정,1,0.9739580154418944,industry_risk
"진천군의회, 기업체 소통 강화 지속··· 30일 CJ제일제당(주) 블로썸캠...",긍정,1,0.9222286939620972,industry_risk
락앤락 ‘그린메이트 20기’ 모집,긍정,1,0.9866342544555664,industry_risk
BTL 시장 온도차…그린스마트 미래학교 ‘인기’ 대학시설 ‘외면’,긍정,1,0.6006799340248108,industry_risk
"락앤락, 대학생 '그린메이트 20기' 모집…환경보호 실천",긍정,1,0.9631296396255492,industry_risk
"락앤락, 대학생 친환경 서포터즈 ‘그린메이트 20기’ 모집",긍정,1,0.9870501756668092,industry_risk
"'딸맘' 강소라, 캠퍼스룩도 문제 없는 동안 비주얼",긍정,1,0.920871913433075,industry_risk
"MLB, 워너비 캠퍼스 라이프 S/S 쇼케이스 공개",긍정,1,0.9916961789131165,industry_risk
익산시 ‘그린바이오’로 미래 농업 선도한다,긍정,1,0.9672252535820008,industry_risk
"익산, 그린바이오산업 집중 육성",긍정,1,0.9774799942970276,industry_risk
"익산시, 그린바이오 특화분야 전문가 토론회 개최",긍정,1,0.976327419281006,industry_risk
"익산시, '그린바이오'를 선도하며 대한민국 미래농업 이끌어",긍정,1,0.974384307861328,industry_risk
"[에너지 뉴스]남부발전-SK C&C, 에너지 자립형스마트그린산단 추진 협약...",긍정,1,0.9230213165283204,industry_risk
청주 오송 바이오메디컬 캠퍼스 조성 '빨간불(?)',긍정,1,0.7922890782356262,industry_risk
그린 스타트업 조성 등 서부경남 발전 이끌 공모사업 '도전',긍정,1,0.9099083542823792,industry_risk
"익산시, '그린바이오'로 대한민국 미래농업 선도",긍정,1,0.98276549577713,industry_risk
"""그린바이오 벤처 캠퍼스 유치， 경쟁력 강화""",긍정,1,0.9615746736526488,industry_risk
"조규일 진주시장, ‘그린바이오 벤처 캠퍼스’ 유치 추진",긍정,1,0.9389939904212952,industry_risk
"조규일 진주시장 ""그린바이오산업 육성 본격화""",긍정,1,0.9115143418312072,industry_risk
"김준 SK이노 부회장 ""뉴 그린 포트폴리오 구축""",긍정,1,0.966080904006958,industry_risk
"시스코 ""국내 스마트팩토리·그린 데이터센터 지원""…CDA2.0 추진계획 발...",긍정,1,0.9436506628990172,industry_risk
"영풍 박영민 대표 ""환경 이슈 넘어 그린메탈 선도""",긍정,1,0.9783120155334472,industry_risk
"박영민 영풍 대표 ""그린메탈 선도 기업으로 대도약 원년""",긍정,1,0.9832483530044556,industry_risk
박영민 영풍 대표가 금속 산업에 던진 화두 '그린(Green)메탈',긍정,1,0.9887692928314208,industry_risk
"박영민 영풍 대표 ""환경 이슈 넘어 그린메탈 선도 기업으로""",긍정,1,0.9797860980033876,industry_risk
태양 그린수소 에너지를 통한 탈탄소화,부정,-1,0.6032471060752869,industry_risk
"[포토] 샤이니 민호, '봄을 재촉하는 캠퍼스룩'",긍정,1,0.9107627868652344,industry_risk
"BTS 지민, 상큼한 민트 그린 블루종, 핑크 선글라스로 공항에 [kdf JIMIN]",긍정,1,0.9323709607124328,industry_risk
"BTS 지민, 패션쇼 초대받은 디올의 남자! 소년같은 캠퍼스룩 출국길!",긍정,1,0.9069473147392272,industry_risk
[셀러뷰's PICK] '그린브로스샐러드'의 허 승대표,긍정,1,0.9827784895896912,industry_risk
"경남도, 올해 스마트농업 530억원 투입해 미래 경쟁력 강화",긍정,1,0.9724666476249696,industry_risk
"'농업 재도약·부강한 농촌'…경남, 올해 스마트농업 530억 투입",긍정,1,0.9840425848960876,industry_risk
"경남도, 청년 농부 양성하고 살기 좋은 농촌 조성 '시동'",긍정,1,0.9364821314811708,industry_risk
"경남도, 농촌·미래 농업 신규 시책 발표",긍정,1,0.9841320514678956,industry_risk
경남 농업 재도약·부강한 농촌 조성한다,긍정,1,0.977426528930664,industry_risk
"[단독] 고양시, '3~5배 저렴한' 그린벨트 내 불법사업장 7곳 적발",부정,-1,0.9266499280929564,industry_risk
100만㎡ 미만 비수도권 그린벨트 지자체가 해제 가능해진다,부정,-1,0.632883608341217,industry_risk
비수도권 지자체 그린벨트 해제권한 늘린다,긍정,1,0.9409526586532592,industry_risk
"경성대학교회-그린닥터스재단, 외국인 유학생 무료 진료 활동 전개",긍정,1,0.9532768130302428,industry_risk
"증평군, 내년 국비 목표액 907억…확보 방안 강구",긍정,1,0.9459403157234192,industry_risk
"증평군, 올해 주요 현안사업 및 정부예산 확보 보고회 개최",긍정,1,0.906144082546234,industry_risk
"증평군, 현안사업‧정부예산 확보 보고회",긍정,1,0.930324137210846,industry_risk
"증평군, 내년 국비 907억원 확보 목표…210개 사업 발굴",긍정,1,0.9176541566848756,industry_risk
"증평군, 2023년 주요 현안사업 및 정부예산 확보 보고회 개최",긍정,1,0.9271057844161988,industry_risk
"경남, 청년農 위한 임대형 스마트팜 조성",긍정,1,0.9413655400276184,industry_risk
